Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Partnership Health Plan,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
OP_RX-81000000-ERX50000989,OUTPATIENT,ACETYLCYSTEINE 20% 4 ML VIAL,,,250,$44.89 ,$35.91 ,$36.81 ,$34.12 ,$33.67 ,,$36.81 ,$33.67 ,$33.22 ,$25.14 ,,$36.81 ,$34.12 ,$33.67 ,$26.49 ,,$36.81 ,$34.12 ,$33.67 ,$36.81 ,$33.67 ,$33.22 ,,$38.61 ,,$39.50 ,,,$28.28 ,$36.81 ,$35.01 ,$33.22 ,,$34.12 ,$26.49 ,$25.14 ,$39.50 
OP_RX-81000000-ERX50000990,OUTPATIENT,LIDOCAINE/EPINEPHRINE/TETRACAINE 3 ML SYRINGE,,,250,$15.00 ,$12.00 ,$12.30 ,$11.40 ,$11.25 ,,$12.30 ,$11.25 ,$11.10 ,$8.40 ,,$12.30 ,$11.40 ,$11.25 ,$8.85 ,,$12.30 ,$11.40 ,$11.25 ,$12.30 ,$11.25 ,$11.10 ,,$12.90 ,,$13.20 ,,,$9.45 ,$12.30 ,$11.70 ,$11.10 ,,$11.40 ,$8.85 ,$8.40 ,$13.20 
OP_RX-81000000-ERX50000999,OUTPATIENT,PSYLLIUM,,,250,$2.00 ,$1.60 ,$1.64 ,$1.52 ,$1.50 ,,$1.64 ,$1.50 ,$1.48 ,$1.12 ,,$1.64 ,$1.52 ,$1.50 ,$1.18 ,,$1.64 ,$1.52 ,$1.50 ,$1.64 ,$1.50 ,$1.48 ,,$1.72 ,,$1.76 ,,,$1.26 ,$1.64 ,$1.56 ,$1.48 ,,$1.52 ,$1.18 ,$1.12 ,$1.76 
OP_RX-81000000-ERX50001103,OUTPATIENT,DOXYCYCLINE 100MG,,,250,$176.40 ,$141.12 ,$144.65 ,$134.06 ,$132.30 ,,$144.65 ,$132.30 ,$130.54 ,$98.78 ,,$144.65 ,$134.06 ,$132.30 ,$104.08 ,,$144.65 ,$134.06 ,$132.30 ,$144.65 ,$132.30 ,$130.54 ,,$151.70 ,,$155.23 ,,,$111.13 ,$144.65 ,$137.59 ,$130.54 ,,$134.06 ,$104.08 ,$98.78 ,$155.23 
OP_RX-81000000-ERX50001104,OUTPATIENT,DOXYCYCLINE 100MG/100ML,,,250,$176.40 ,$141.12 ,$144.65 ,$134.06 ,$132.30 ,,$144.65 ,$132.30 ,$130.54 ,$98.78 ,,$144.65 ,$134.06 ,$132.30 ,$104.08 ,,$144.65 ,$134.06 ,$132.30 ,$144.65 ,$132.30 ,$130.54 ,,$151.70 ,,$155.23 ,,,$111.13 ,$144.65 ,$137.59 ,$130.54 ,,$134.06 ,$104.08 ,$98.78 ,$155.23 
OP_RX-81000000-ERX50001116,OUTPATIENT,NAFCILLIN 1G/50ML SOLN,,,250,$92.40 ,$73.92 ,$75.77 ,$70.22 ,$69.30 ,,$75.77 ,$69.30 ,$68.38 ,$51.74 ,,$75.77 ,$70.22 ,$69.30 ,$54.52 ,,$75.77 ,$70.22 ,$69.30 ,$75.77 ,$69.30 ,$68.38 ,,$79.46 ,,$81.31 ,,,$58.21 ,$75.77 ,$72.07 ,$68.38 ,,$70.22 ,$54.52 ,$51.74 ,$81.31 
OP_RX-81000000-ERX50001118,OUTPATIENT,NAFCILLIN 2G/100ML SOLN,,,250,$184.80 ,$147.84 ,$151.54 ,$140.45 ,$138.60 ,,$151.54 ,$138.60 ,$136.75 ,$103.49 ,,$151.54 ,$140.45 ,$138.60 ,$109.03 ,,$151.54 ,$140.45 ,$138.60 ,$151.54 ,$138.60 ,$136.75 ,,$158.93 ,,$162.62 ,,,$116.42 ,$151.54 ,$144.14 ,$136.75 ,,$140.45 ,$109.03 ,$103.49 ,$162.62 
OP_RX-81000000-ERX50001245,OUTPATIENT,LIDOCAINE/EPINEPHRINE PF 1.5%/1:200000,,,250,$75.00 ,$60.00 ,$61.50 ,$57.00 ,$56.25 ,,$61.50 ,$56.25 ,$55.50 ,$42.00 ,,$61.50 ,$57.00 ,$56.25 ,$44.25 ,,$61.50 ,$57.00 ,$56.25 ,$61.50 ,$56.25 ,$55.50 ,,$64.50 ,,$66.00 ,,,$47.25 ,$61.50 ,$58.50 ,$55.50 ,,$57.00 ,$44.25 ,$42.00 ,$66.00 
OP_RX-81000000-ERX50001523,OUTPATIENT,SODIUM HYPOCHLORITE 0.125% 473 ML BOTTLE,,,250,$2.00 ,$1.60 ,$1.64 ,$1.52 ,$1.50 ,,$1.64 ,$1.50 ,$1.48 ,$1.12 ,,$1.64 ,$1.52 ,$1.50 ,$1.18 ,,$1.64 ,$1.52 ,$1.50 ,$1.64 ,$1.50 ,$1.48 ,,$1.72 ,,$1.76 ,,,$1.26 ,$1.64 ,$1.56 ,$1.48 ,,$1.52 ,$1.18 ,$1.12 ,$1.76 
OP_RX-81000000-ERX50001611,OUTPATIENT,"LIDOCAINE/EPINEPHRINE PF 1%-1:100,000 SOLN",,,250,$75.00 ,$60.00 ,$61.50 ,$57.00 ,$56.25 ,,$61.50 ,$56.25 ,$55.50 ,$42.00 ,,$61.50 ,$57.00 ,$56.25 ,$44.25 ,,$61.50 ,$57.00 ,$56.25 ,$61.50 ,$56.25 ,$55.50 ,,$64.50 ,,$66.00 ,,,$47.25 ,$61.50 ,$58.50 ,$55.50 ,,$57.00 ,$44.25 ,$42.00 ,$66.00 
OP_RX-81000000-ERX50001811,OUTPATIENT,POTASSIUM CHLORIDE CR 10MEQ TBCR,,,250,$15.00 ,$12.00 ,$12.30 ,$11.40 ,$11.25 ,,$12.30 ,$11.25 ,$11.10 ,$8.40 ,,$12.30 ,$11.40 ,$11.25 ,$8.85 ,,$12.30 ,$11.40 ,$11.25 ,$12.30 ,$11.25 ,$11.10 ,,$12.90 ,,$13.20 ,,,$9.45 ,$12.30 ,$11.70 ,$11.10 ,,$11.40 ,$8.85 ,$8.40 ,$13.20 
OP_RX-81000000-ERX50001816,OUTPATIENT,LIDOCAINE 2%,J2001,,250,$2.00 ,$1.60 ,$1.64 ,$1.52 ,$1.50 ,,$1.64 ,$1.50 ,$1.48 ,$1.12 ,,$1.64 ,$1.52 ,$1.50 ,$1.18 ,,$1.64 ,$1.52 ,$1.50 ,$1.64 ,$1.50 ,$1.48 ,,$1.72 ,,$1.76 ,$4.49 ,,$1.26 ,$1.64 ,$1.56 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$4.49 
OP_RX-81000000-ERX50001888,OUTPATIENT,EPHEDRINE SULFATE 5MG/ML,,,250,$92.09 ,$73.67 ,$75.51 ,$69.99 ,$69.07 ,,$75.51 ,$69.07 ,$68.15 ,$51.57 ,,$75.51 ,$69.99 ,$69.07 ,$54.33 ,,$75.51 ,$69.99 ,$69.07 ,$75.51 ,$69.07 ,$68.15 ,,$79.20 ,,$81.04 ,,,$58.02 ,$75.51 ,$71.83 ,$68.15 ,,$69.99 ,$54.33 ,$51.57 ,$81.04 
OP_RX-81000000-ERX50001970,OUTPATIENT,VANCOMYCIN 50MG/ML SOLN,,,250,$15.00 ,$12.00 ,$12.30 ,$11.40 ,$11.25 ,,$12.30 ,$11.25 ,$11.10 ,$8.40 ,,$12.30 ,$11.40 ,$11.25 ,$8.85 ,,$12.30 ,$11.40 ,$11.25 ,$12.30 ,$11.25 ,$11.10 ,,$12.90 ,,$13.20 ,,,$9.45 ,$12.30 ,$11.70 ,$11.10 ,,$11.40 ,$8.85 ,$8.40 ,$13.20 
OP_RX-81000000-ERX50003202,OUTPATIENT,"CALCIUM CARBONATE OYSTER SHELL 1,250MG(500MG ELEMENTAL CALCIUM) TABS",,,250,$2.00 ,$1.60 ,$1.64 ,$1.52 ,$1.50 ,,$1.64 ,$1.50 ,$1.48 ,$1.12 ,,$1.64 ,$1.52 ,$1.50 ,$1.18 ,,$1.64 ,$1.52 ,$1.50 ,$1.64 ,$1.50 ,$1.48 ,,$1.72 ,,$1.76 ,,,$1.26 ,$1.64 ,$1.56 ,$1.48 ,,$1.52 ,$1.18 ,$1.12 ,$1.76 
OP_RX-81000000-ERX50003249,OUTPATIENT,SODIUM BICARBONATE 8.4% SOLN,,,250,$100.10 ,$80.08 ,$82.08 ,$76.08 ,$75.08 ,,$82.08 ,$75.08 ,$74.07 ,$56.06 ,,$82.08 ,$76.08 ,$75.08 ,$59.06 ,,$82.08 ,$76.08 ,$75.08 ,$82.08 ,$75.08 ,$74.07 ,,$86.09 ,,$88.09 ,,,$63.06 ,$82.08 ,$78.08 ,$74.07 ,,$76.08 ,$59.06 ,$56.06 ,$88.09 
OP_RX-81000000-ERX50003250,OUTPATIENT,EPINEPHRINE 0.1MG/ML SOLN,,,250,$44.03 ,$35.22 ,$36.10 ,$33.46 ,$33.02 ,,$36.10 ,$33.02 ,$32.58 ,$24.66 ,,$36.10 ,$33.46 ,$33.02 ,$25.98 ,,$36.10 ,$33.46 ,$33.02 ,$36.10 ,$33.02 ,$32.58 ,,$37.87 ,,$38.75 ,,,$27.74 ,$36.10 ,$34.34 ,$32.58 ,,$33.46 ,$25.98 ,$24.66 ,$38.75 
OP_RX-81000000-ERX50003359,OUTPATIENT,POTASSIUM CHLORIDE CR 20MEQ TBCR,,,250,$15.00 ,$12.00 ,$12.30 ,$11.40 ,$11.25 ,,$12.30 ,$11.25 ,$11.10 ,$8.40 ,,$12.30 ,$11.40 ,$11.25 ,$8.85 ,,$12.30 ,$11.40 ,$11.25 ,$12.30 ,$11.25 ,$11.10 ,,$12.90 ,,$13.20 ,,,$9.45 ,$12.30 ,$11.70 ,$11.10 ,,$11.40 ,$8.85 ,$8.40 ,$13.20 
OP_RX-81000000-ERX50003405,OUTPATIENT,BENADRYL/VISCOUS LIDOCAINE/MYLANTA (1:1:1),,,250,$39.68 ,$31.74 ,$32.54 ,$30.16 ,$29.76 ,,$32.54 ,$29.76 ,$29.36 ,$22.22 ,,$32.54 ,$30.16 ,$29.76 ,$23.41 ,,$32.54 ,$30.16 ,$29.76 ,$32.54 ,$29.76 ,$29.36 ,,$34.12 ,,$34.92 ,,,$25.00 ,$32.54 ,$30.95 ,$29.36 ,,$30.16 ,$23.41 ,$22.22 ,$34.92 
OP_RX-81000000-ERX50004,OUTPATIENT,EZETIMIBE 10MG TABS,,,250,$55.00 ,$44.00 ,$45.10 ,$41.80 ,$41.25 ,,$45.10 ,$41.25 ,$40.70 ,$30.80 ,,$45.10 ,$41.80 ,$41.25 ,$32.45 ,,$45.10 ,$41.80 ,$41.25 ,$45.10 ,$41.25 ,$40.70 ,,$47.30 ,,$48.40 ,,,$34.65 ,$45.10 ,$42.90 ,$40.70 ,,$41.80 ,$32.45 ,$30.80 ,$48.40 
OP_RX-81000000-ERX50004182,OUTPATIENT,VALPROATE SODIUM 500MG/50ML,,,250,$145.22 ,$116.18 ,$119.08 ,$110.37 ,$108.92 ,,$119.08 ,$108.92 ,$107.46 ,$81.32 ,,$119.08 ,$110.37 ,$108.92 ,$85.68 ,,$119.08 ,$110.37 ,$108.92 ,$119.08 ,$108.92 ,$107.46 ,,$124.89 ,,$127.79 ,,,$91.49 ,$119.08 ,$113.27 ,$107.46 ,,$110.37 ,$85.68 ,$81.32 ,$127.79 
OP_RX-81000000-ERX50004289,OUTPATIENT,"BUPIVACAINE/EPINEPHRINE PF 0.375%/1:400,000 SOLN",,,250,$75.00 ,$60.00 ,$61.50 ,$57.00 ,$56.25 ,,$61.50 ,$56.25 ,$55.50 ,$42.00 ,,$61.50 ,$57.00 ,$56.25 ,$44.25 ,,$61.50 ,$57.00 ,$56.25 ,$61.50 ,$56.25 ,$55.50 ,,$64.50 ,,$66.00 ,,,$47.25 ,$61.50 ,$58.50 ,$55.50 ,,$57.00 ,$44.25 ,$42.00 ,$66.00 
OP_RX-81000000-ERX50004928,OUTPATIENT,TRANEXAMIC ACID 1000MG/50ML SOLN,,,250,$390.00 ,$312.00 ,$319.80 ,$296.40 ,$292.50 ,,$319.80 ,$292.50 ,$288.60 ,$218.40 ,,$319.80 ,$296.40 ,$292.50 ,$230.10 ,,$319.80 ,$296.40 ,$292.50 ,$319.80 ,$292.50 ,$288.60 ,,$335.40 ,,$343.20 ,,,$245.70 ,$319.80 ,$304.20 ,$288.60 ,,$296.40 ,$230.10 ,$218.40 ,$343.20 
OP_RX-81000000-ERX50005796,OUTPATIENT,COLCHICINE 0.3MG TABS,,,250,$18.52 ,$14.82 ,$15.19 ,$14.08 ,$13.89 ,,$15.19 ,$13.89 ,$13.70 ,$10.37 ,,$15.19 ,$14.08 ,$13.89 ,$10.93 ,,$15.19 ,$14.08 ,$13.89 ,$15.19 ,$13.89 ,$13.70 ,,$15.93 ,,$16.30 ,,,$11.67 ,$15.19 ,$14.45 ,$13.70 ,,$14.08 ,$10.93 ,$10.37 ,$16.30 
OP_RX-81000000-ERX50005997,OUTPATIENT,LIDOCAINE/EPINEPHRINE/TETRACAINE 3 ML SYRINGE,,,250,$58.50 ,$46.80 ,$47.97 ,$44.46 ,$43.88 ,,$47.97 ,$43.88 ,$43.29 ,$32.76 ,,$47.97 ,$44.46 ,$43.88 ,$34.52 ,,$47.97 ,$44.46 ,$43.88 ,$47.97 ,$43.88 ,$43.29 ,,$50.31 ,,$51.48 ,,,$36.86 ,$47.97 ,$45.63 ,$43.29 ,,$44.46 ,$34.52 ,$32.76 ,$51.48 
OP_RX-81000000-ERX50006264,OUTPATIENT,DOXYCYCLINE 100MG/250ML,,,250,$176.40 ,$141.12 ,$144.65 ,$134.06 ,$132.30 ,,$144.65 ,$132.30 ,$130.54 ,$98.78 ,,$144.65 ,$134.06 ,$132.30 ,$104.08 ,,$144.65 ,$134.06 ,$132.30 ,$144.65 ,$132.30 ,$130.54 ,,$151.70 ,,$155.23 ,,,$111.13 ,$144.65 ,$137.59 ,$130.54 ,,$134.06 ,$104.08 ,$98.78 ,$155.23 
OP_RX-81000000-ERX50006334,OUTPATIENT,CALCIUM CARBONATE/VITAMIN D 500MG ELEMENTAL CALCIUM/200 UNITS TABS,,,250,$2.00 ,$1.60 ,$1.64 ,$1.52 ,$1.50 ,,$1.64 ,$1.50 ,$1.48 ,$1.12 ,,$1.64 ,$1.52 ,$1.50 ,$1.18 ,,$1.64 ,$1.52 ,$1.50 ,$1.64 ,$1.50 ,$1.48 ,,$1.72 ,,$1.76 ,,,$1.26 ,$1.64 ,$1.56 ,$1.48 ,,$1.52 ,$1.18 ,$1.12 ,$1.76 
OP_RX-81000000-ERX50006370,OUTPATIENT,TENECTEPLASE 5MG/ML SOLN,J3101,,250,$437.50 ,$350.00 ,$358.75 ,$332.50 ,$328.13 ,$134.74 ,$358.75 ,$328.13 ,$323.75 ,$245.00 ,$134.74 ,$358.75 ,$332.50 ,$328.13 ,$258.13 ,$134.74 ,$358.75 ,$332.50 ,$328.13 ,$358.75 ,$328.13 ,$323.75 ,$134.74 ,$376.25 ,$134.74 ,$385.00 ,,$134.74 ,$275.63 ,$358.75 ,$341.25 ,$344.00 ,$134.74 ,$344.00 ,$279.00 ,$134.74 ,$385.00 
OP_RX-81000000-ERX50006584,OUTPATIENT,SOTROVIMAB 500 MG IN NACL 0.9% 108 ML IVPB (EMERGENCY USE AUTHORIZATION),,,250,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,,$0.01 ,,,$0.01 ,$0.01 ,$0.01 ,$0.01 ,,$0.01 ,$0.01 ,$0.01 ,$0.01 
OP_RX-81000000-ERX50052,OUTPATIENT,DUTASTERIDE 0.5MG CAPS,,,250,$33.28 ,$26.62 ,$27.29 ,$25.29 ,$24.96 ,,$27.29 ,$24.96 ,$24.63 ,$18.64 ,,$27.29 ,$25.29 ,$24.96 ,$19.64 ,,$27.29 ,$25.29 ,$24.96 ,$27.29 ,$24.96 ,$24.63 ,,$28.62 ,,$29.29 ,,,$20.97 ,$27.29 ,$25.96 ,$24.63 ,,$25.29 ,$19.64 ,$18.64 ,$29.29 
OP_RX-81000000-ERX50279,OUTPATIENT,DIVALPROEX 24HR-ER 250MG TB24,,,250,$15.00 ,$12.00 ,$12.30 ,$11.40 ,$11.25 ,,$12.30 ,$11.25 ,$11.10 ,$8.40 ,,$12.30 ,$11.40 ,$11.25 ,$8.85 ,,$12.30 ,$11.40 ,$11.25 ,$12.30 ,$11.25 ,$11.10 ,,$12.90 ,,$13.20 ,,,$9.45 ,$12.30 ,$11.70 ,$11.10 ,,$11.40 ,$8.85 ,$8.40 ,$13.20 
OP_RX-81000000-ERX50566,OUTPATIENT,BUPRENORPHINE/NALOXONE SL 2MG/0.5 MG SUBL,,,250,$40.00 ,$32.00 ,$32.80 ,$30.40 ,$30.00 ,,$32.80 ,$30.00 ,$29.60 ,$22.40 ,,$32.80 ,$30.40 ,$30.00 ,$23.60 ,,$32.80 ,$30.40 ,$30.00 ,$32.80 ,$30.00 ,$29.60 ,,$34.40 ,,$35.20 ,,,$25.20 ,$32.80 ,$31.20 ,$29.60 ,,$30.40 ,$23.60 ,$22.40 ,$35.20 
OP_RX-81000000-ERX5090,OUTPATIENT,OLANZAPINE 5MG TABS,,,250,$55.00 ,$44.00 ,$45.10 ,$41.80 ,$41.25 ,,$45.10 ,$41.25 ,$40.70 ,$30.80 ,,$45.10 ,$41.80 ,$41.25 ,$32.45 ,,$45.10 ,$41.80 ,$41.25 ,$45.10 ,$41.25 ,$40.70 ,,$47.30 ,,$48.40 ,,,$34.65 ,$45.10 ,$42.90 ,$40.70 ,,$41.80 ,$32.45 ,$30.80 ,$48.40 
OP_RX-81000000-ERX51536,OUTPATIENT,MOXIFLOXACIN 0.5% SOLN 3 ML BOTTLE,,,250,$697.32 ,$557.86 ,$571.80 ,$529.96 ,$522.99 ,,$571.80 ,$522.99 ,$516.02 ,$390.50 ,,$571.80 ,$529.96 ,$522.99 ,$411.42 ,,$571.80 ,$529.96 ,$522.99 ,$571.80 ,$522.99 ,$516.02 ,,$599.70 ,,$613.64 ,,,$439.31 ,$571.80 ,$543.91 ,$516.02 ,,$529.96 ,$411.42 ,$390.50 ,$613.64 
OP_RX-81000000-ERX52261,OUTPATIENT,ARIPIPRAZOLE 5MG TABS,,,250,$96.23 ,$76.98 ,$78.91 ,$73.13 ,$72.17 ,,$78.91 ,$72.17 ,$71.21 ,$53.89 ,,$78.91 ,$73.13 ,$72.17 ,$56.78 ,,$78.91 ,$73.13 ,$72.17 ,$78.91 ,$72.17 ,$71.21 ,,$82.76 ,,$84.68 ,,,$60.62 ,$78.91 ,$75.06 ,$71.21 ,,$73.13 ,$56.78 ,$53.89 ,$84.68 
OP_RX-81000000-ERX52403,OUTPATIENT,ROSUVASTATIN 10MG TABS,,,250,$35.78 ,$28.62 ,$29.34 ,$27.19 ,$26.84 ,,$29.34 ,$26.84 ,$26.48 ,$20.04 ,,$29.34 ,$27.19 ,$26.84 ,$21.11 ,,$29.34 ,$27.19 ,$26.84 ,$29.34 ,$26.84 ,$26.48 ,,$30.77 ,,$31.49 ,,,$22.54 ,$29.34 ,$27.91 ,$26.48 ,,$27.19 ,$21.11 ,$20.04 ,$31.49 
OP_RX-81000000-ERX52603,OUTPATIENT,BUPROPION 24HR-XL 150MG TB24,,,250,$26.25 ,$21.00 ,$21.53 ,$19.95 ,$19.69 ,,$21.53 ,$19.69 ,$19.43 ,$14.70 ,,$21.53 ,$19.95 ,$19.69 ,$15.49 ,,$21.53 ,$19.95 ,$19.69 ,$21.53 ,$19.69 ,$19.43 ,,$22.58 ,,$23.10 ,,,$16.54 ,$21.53 ,$20.48 ,$19.43 ,,$19.95 ,$15.49 ,$14.70 ,$23.10 
OP_RX-81000000-ERX52611,OUTPATIENT,LEVETIRACETAM 100MG/ML SOLN,,,250,$44.69 ,$35.75 ,$36.65 ,$33.96 ,$33.52 ,,$36.65 ,$33.52 ,$33.07 ,$25.03 ,,$36.65 ,$33.96 ,$33.52 ,$26.37 ,,$36.65 ,$33.96 ,$33.52 ,$36.65 ,$33.52 ,$33.07 ,,$38.43 ,,$39.33 ,,,$28.15 ,$36.65 ,$34.86 ,$33.07 ,,$33.96 ,$26.37 ,$25.03 ,$39.33 
OP_RX-81000000-ERX53117,OUTPATIENT,AMIODARONE 100MG TABS,,,250,$20.43 ,$16.34 ,$16.75 ,$15.53 ,$15.32 ,,$16.75 ,$15.32 ,$15.12 ,$11.44 ,,$16.75 ,$15.53 ,$15.32 ,$12.05 ,,$16.75 ,$15.53 ,$15.32 ,$16.75 ,$15.32 ,$15.12 ,,$17.57 ,,$17.98 ,,,$12.87 ,$16.75 ,$15.94 ,$15.12 ,,$15.53 ,$12.05 ,$11.44 ,$17.98 
OP_RX-81000000-ERX53230,OUTPATIENT,MEMANTINE 10MG TABS,,,250,$15.00 ,$12.00 ,$12.30 ,$11.40 ,$11.25 ,,$12.30 ,$11.25 ,$11.10 ,$8.40 ,,$12.30 ,$11.40 ,$11.25 ,$8.85 ,,$12.30 ,$11.40 ,$11.25 ,$12.30 ,$11.25 ,$11.10 ,,$12.90 ,,$13.20 ,,,$9.45 ,$12.30 ,$11.70 ,$11.10 ,,$11.40 ,$8.85 ,$8.40 ,$13.20 
OP_RX-81000000-ERX53487,OUTPATIENT,METOPROLOL TARTRATE 25MG TABS,,,250,$15.00 ,$12.00 ,$12.30 ,$11.40 ,$11.25 ,,$12.30 ,$11.25 ,$11.10 ,$8.40 ,,$12.30 ,$11.40 ,$11.25 ,$8.85 ,,$12.30 ,$11.40 ,$11.25 ,$12.30 ,$11.25 ,$11.10 ,,$12.90 ,,$13.20 ,,,$9.45 ,$12.30 ,$11.70 ,$11.10 ,,$11.40 ,$8.85 ,$8.40 ,$13.20 
OP_RX-81000000-ERX53958,OUTPATIENT,GLIPIZIDE 24HR-ER 2.5MG TB24,,,250,$15.00 ,$12.00 ,$12.30 ,$11.40 ,$11.25 ,,$12.30 ,$11.25 ,$11.10 ,$8.40 ,,$12.30 ,$11.40 ,$11.25 ,$8.85 ,,$12.30 ,$11.40 ,$11.25 ,$12.30 ,$11.25 ,$11.10 ,,$12.90 ,,$13.20 ,,,$9.45 ,$12.30 ,$11.70 ,$11.10 ,,$11.40 ,$8.85 ,$8.40 ,$13.20 
OP_RX-81000000-ERX53959,OUTPATIENT,GLIPIZIDE 24HR-ER 5MG TB24,,,250,$7.50 ,$6.00 ,$6.15 ,$5.70 ,$5.63 ,,$6.15 ,$5.63 ,$5.55 ,$4.20 ,,$6.15 ,$5.70 ,$5.63 ,$4.43 ,,$6.15 ,$5.70 ,$5.63 ,$6.15 ,$5.63 ,$5.55 ,,$6.45 ,,$6.60 ,,,$4.73 ,$6.15 ,$5.85 ,$5.55 ,,$5.70 ,$4.43 ,$4.20 ,$6.60 
OP_RX-81000000-ERX53961,OUTPATIENT,GUAIFENESIN 12HR-ER 600MG TB12,,,250,$2.00 ,$1.60 ,$1.64 ,$1.52 ,$1.50 ,,$1.64 ,$1.50 ,$1.48 ,$1.12 ,,$1.64 ,$1.52 ,$1.50 ,$1.18 ,,$1.64 ,$1.52 ,$1.50 ,$1.64 ,$1.50 ,$1.48 ,,$1.72 ,,$1.76 ,,,$1.26 ,$1.64 ,$1.56 ,$1.48 ,,$1.52 ,$1.18 ,$1.12 ,$1.76 
OP_RX-81000000-ERX54019,OUTPATIENT,PROPRANOLOL 24HR-ER 60MG CP24,,,250,$15.00 ,$12.00 ,$12.30 ,$11.40 ,$11.25 ,,$12.30 ,$11.25 ,$11.10 ,$8.40 ,,$12.30 ,$11.40 ,$11.25 ,$8.85 ,,$12.30 ,$11.40 ,$11.25 ,$12.30 ,$11.25 ,$11.10 ,,$12.90 ,,$13.20 ,,,$9.45 ,$12.30 ,$11.70 ,$11.10 ,,$11.40 ,$8.85 ,$8.40 ,$13.20 
OP_RX-81000000-ERX54038,OUTPATIENT,LACTULOSE 10G/15ML SOLN,,,250,$16.34 ,$13.07 ,$13.40 ,$12.42 ,$12.26 ,,$13.40 ,$12.26 ,$12.09 ,$9.15 ,,$13.40 ,$12.42 ,$12.26 ,$9.64 ,,$13.40 ,$12.42 ,$12.26 ,$13.40 ,$12.26 ,$12.09 ,,$14.05 ,,$14.38 ,,,$10.29 ,$13.40 ,$12.75 ,$12.09 ,,$12.42 ,$9.64 ,$9.15 ,$14.38 
OP_RX-81000000-ERX54064,OUTPATIENT,TIOTROPIUM 18MCG CAPS 5 EACH BOX,,,250,"$1,500.00 ","$1,200.00 ","$1,230.00 ","$1,140.00 ","$1,125.00 ",,"$1,230.00 ","$1,125.00 ","$1,110.00 ",$840.00 ,,"$1,230.00 ","$1,140.00 ","$1,125.00 ",$885.00 ,,"$1,230.00 ","$1,140.00 ","$1,125.00 ","$1,230.00 ","$1,125.00 ","$1,110.00 ",,"$1,290.00 ",,"$1,320.00 ",,,$945.00 ,"$1,230.00 ","$1,170.00 ","$1,110.00 ",,"$1,140.00 ",$885.00 ,$840.00 ,"$1,320.00 "
OP_RX-81000000-ERX54353,OUTPATIENT,MULTIVITAMIN ADULT INJ 5 ML VIAL,,,250,$48.86 ,$39.09 ,$40.07 ,$37.13 ,$36.65 ,,$40.07 ,$36.65 ,$36.16 ,$27.36 ,,$40.07 ,$37.13 ,$36.65 ,$28.83 ,,$40.07 ,$37.13 ,$36.65 ,$40.07 ,$36.65 ,$36.16 ,,$42.02 ,,$43.00 ,,,$30.78 ,$40.07 ,$38.11 ,$36.16 ,,$37.13 ,$28.83 ,$27.36 ,$43.00 
OP_RX-81000000-ERX54820,OUTPATIENT,"NYSTATIN 100,000 UNITS/G POWD 15 G BOTTLE",,,250,$93.75 ,$75.00 ,$76.88 ,$71.25 ,$70.31 ,,$76.88 ,$70.31 ,$69.38 ,$52.50 ,,$76.88 ,$71.25 ,$70.31 ,$55.31 ,,$76.88 ,$71.25 ,$70.31 ,$76.88 ,$70.31 ,$69.38 ,,$80.63 ,,$82.50 ,,,$59.06 ,$76.88 ,$73.13 ,$69.38 ,,$71.25 ,$55.31 ,$52.50 ,$82.50 
