Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Central California Alliance for Health,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medi-Cal / California Health & Wellness,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
MSDRG-939,INPATIENT,All Inpatient Services for MS-DRG 939,,,,,,,,,"$36,001.01 ",,,,,"$36,001.01 ",,,,,"$36,001.01 ",,,,,,,,,"$36,001.01 ",,"$36,001.01 ",,"$36,001.01 ",,,,,"$36,001.01 ",,,"$36,001.01 ","$36,001.01 "
MSDRG-940,INPATIENT,All Inpatient Services for MS-DRG 940,,,,,,,,,"$23,693.07 ",,,,,"$23,693.07 ",,,,,"$23,693.07 ",,,,,,,,,"$23,693.07 ",,"$23,693.07 ",,"$23,693.07 ",,,,,"$23,693.07 ",,,"$23,693.07 ","$23,693.07 "
MSDRG-941,INPATIENT,All Inpatient Services for MS-DRG 941,,,,,,,,,"$20,516.07 ",,,,,"$20,516.07 ",,,,,"$20,516.07 ",,,,,,,,,"$20,516.07 ",,"$20,516.07 ",,"$20,516.07 ",,,,,"$20,516.07 ",,,"$20,516.07 ","$20,516.07 "
MSDRG-945,INPATIENT,All Inpatient Services for MS-DRG 945,,,,,,,,,"$15,809.25 ",,,,,"$15,809.25 ",,,,,"$15,809.25 ",,,,,,,,,"$15,809.25 ",,"$15,809.25 ",,"$15,809.25 ",,,,,"$15,809.25 ",,,"$15,809.25 ","$15,809.25 "
MSDRG-946,INPATIENT,All Inpatient Services for MS-DRG 946,,,,,,,,,"$12,014.56 ",,,,,"$12,014.56 ",,,,,"$12,014.56 ",,,,,,,,,"$12,014.56 ",,"$12,014.56 ",,"$12,014.56 ",,,,,"$12,014.56 ",,,"$12,014.56 ","$12,014.56 "
MSDRG-947,INPATIENT,All Inpatient Services for MS-DRG 947,,,,,,,,,"$12,737.87 ",,,,,"$12,737.87 ",,,,,"$12,737.87 ",,,,,,,,,"$12,737.87 ",,"$12,737.87 ",,"$12,737.87 ",,,,,"$12,737.87 ",,,"$12,737.87 ","$12,737.87 "
MSDRG-948,INPATIENT,All Inpatient Services for MS-DRG 948,,,,,,,,,"$8,396.96 ",,,,,"$8,396.96 ",,,,,"$8,396.96 ",,,,,,,,,"$8,396.96 ",,"$8,396.96 ",,"$8,396.96 ",,,,,"$8,396.96 ",,,"$8,396.96 ","$8,396.96 "
MSDRG-949,INPATIENT,All Inpatient Services for MS-DRG 949,,,,,,,,,"$11,840.67 ",,,,,"$11,840.67 ",,,,,"$11,840.67 ",,,,,,,,,"$11,840.67 ",,"$11,840.67 ",,"$11,840.67 ",,,,,"$11,840.67 ",,,"$11,840.67 ","$11,840.67 "
MSDRG-950,INPATIENT,All Inpatient Services for MS-DRG 950,,,,,,,,,"$7,896.62 ",,,,,"$7,896.62 ",,,,,"$7,896.62 ",,,,,,,,,"$7,896.62 ",,"$7,896.62 ",,"$7,896.62 ",,,,,"$7,896.62 ",,,"$7,896.62 ","$7,896.62 "
MSDRG-951,INPATIENT,All Inpatient Services for MS-DRG 951,,,,,,,,,"$5,969.94 ",,,,,"$5,969.94 ",,,,,"$5,969.94 ",,,,,,,,,"$5,969.94 ",,"$5,969.94 ",,"$5,969.94 ",,,,,"$5,969.94 ",,,"$5,969.94 ","$5,969.94 "
MSDRG-955,INPATIENT,All Inpatient Services for MS-DRG 955,,,,,,,,,"$67,095.70 ",,,,,"$67,095.70 ",,,,,"$67,095.70 ",,,,,,,,,"$67,095.70 ",,"$67,095.70 ",,"$67,095.70 ",,,,,"$67,095.70 ",,,"$67,095.70 ","$67,095.70 "
MSDRG-956,INPATIENT,All Inpatient Services for MS-DRG 956,,,,,,,,,"$41,072.69 ",,,,,"$41,072.69 ",,,,,"$41,072.69 ",,,,,,,,,"$41,072.69 ",,"$41,072.69 ",,"$41,072.69 ",,,,,"$41,072.69 ",,,"$41,072.69 ","$41,072.69 "
MSDRG-957,INPATIENT,All Inpatient Services for MS-DRG 957,,,,,,,,,"$79,167.87 ",,,,,"$79,167.87 ",,,,,"$79,167.87 ",,,,,,,,,"$79,167.87 ",,"$79,167.87 ",,"$79,167.87 ",,,,,"$79,167.87 ",,,"$79,167.87 ","$79,167.87 "
MSDRG-958,INPATIENT,All Inpatient Services for MS-DRG 958,,,,,,,,,"$44,867.38 ",,,,,"$44,867.38 ",,,,,"$44,867.38 ",,,,,,,,,"$44,867.38 ",,"$44,867.38 ",,"$44,867.38 ",,,,,"$44,867.38 ",,,"$44,867.38 ","$44,867.38 "
MSDRG-959,INPATIENT,All Inpatient Services for MS-DRG 959,,,,,,,,,"$29,189.35 ",,,,,"$29,189.35 ",,,,,"$29,189.35 ",,,,,,,,,"$29,189.35 ",,"$29,189.35 ",,"$29,189.35 ",,,,,"$29,189.35 ",,,"$29,189.35 ","$29,189.35 "
MSDRG-963,INPATIENT,All Inpatient Services for MS-DRG 963,,,,,,,,,"$29,123.20 ",,,,,"$29,123.20 ",,,,,"$29,123.20 ",,,,,,,,,"$29,123.20 ",,"$29,123.20 ",,"$29,123.20 ",,,,,"$29,123.20 ",,,"$29,123.20 ","$29,123.20 "
MSDRG-964,INPATIENT,All Inpatient Services for MS-DRG 964,,,,,,,,,"$15,914.87 ",,,,,"$15,914.87 ",,,,,"$15,914.87 ",,,,,,,,,"$15,914.87 ",,"$15,914.87 ",,"$15,914.87 ",,,,,"$15,914.87 ",,,"$15,914.87 ","$15,914.87 "
MSDRG-965,INPATIENT,All Inpatient Services for MS-DRG 965,,,,,,,,,"$9,734.76 ",,,,,"$9,734.76 ",,,,,"$9,734.76 ",,,,,,,,,"$9,734.76 ",,"$9,734.76 ",,"$9,734.76 ",,,,,"$9,734.76 ",,,"$9,734.76 ","$9,734.76 "
MSDRG-969,INPATIENT,All Inpatient Services for MS-DRG 969,,,,,,,,,"$62,429.42 ",,,,,"$62,429.42 ",,,,,"$62,429.42 ",,,,,,,,,"$62,429.42 ",,"$62,429.42 ",,"$62,429.42 ",,,,,"$62,429.42 ",,,"$62,429.42 ","$62,429.42 "
MSDRG-970,INPATIENT,All Inpatient Services for MS-DRG 970,,,,,,,,,"$31,884.14 ",,,,,"$31,884.14 ",,,,,"$31,884.14 ",,,,,,,,,"$31,884.14 ",,"$31,884.14 ",,"$31,884.14 ",,,,,"$31,884.14 ",,,"$31,884.14 ","$31,884.14 "
MSDRG-974,INPATIENT,All Inpatient Services for MS-DRG 974,,,,,,,,,"$28,702.87 ",,,,,"$28,702.87 ",,,,,"$28,702.87 ",,,,,,,,,"$28,702.87 ",,"$28,702.87 ",,"$28,702.87 ",,,,,"$28,702.87 ",,,"$28,702.87 ","$28,702.87 "
MSDRG-975,INPATIENT,All Inpatient Services for MS-DRG 975,,,,,,,,,"$13,677.74 ",,,,,"$13,677.74 ",,,,,"$13,677.74 ",,,,,,,,,"$13,677.74 ",,"$13,677.74 ",,"$13,677.74 ",,,,,"$13,677.74 ",,,"$13,677.74 ","$13,677.74 "
MSDRG-976,INPATIENT,All Inpatient Services for MS-DRG 976,,,,,,,,,"$10,130.55 ",,,,,"$10,130.55 ",,,,,"$10,130.55 ",,,,,,,,,"$10,130.55 ",,"$10,130.55 ",,"$10,130.55 ",,,,,"$10,130.55 ",,,"$10,130.55 ","$10,130.55 "
MSDRG-977,INPATIENT,All Inpatient Services for MS-DRG 977,,,,,,,,,"$14,127.94 ",,,,,"$14,127.94 ",,,,,"$14,127.94 ",,,,,,,,,"$14,127.94 ",,"$14,127.94 ",,"$14,127.94 ",,,,,"$14,127.94 ",,,"$14,127.94 ","$14,127.94 "
MSDRG-981,INPATIENT,All Inpatient Services for MS-DRG 981,,,,,,,,,"$49,228.55 ",,,,,"$49,228.55 ",,,,,"$49,228.55 ",,,,,,,,,"$49,228.55 ",,"$49,228.55 ",,"$49,228.55 ",,,,,"$49,228.55 ",,,"$49,228.55 ","$49,228.55 "
MSDRG-982,INPATIENT,All Inpatient Services for MS-DRG 982,,,,,,,,,"$27,061.03 ",,,,,"$27,061.03 ",,,,,"$27,061.03 ",,,,,,,,,"$27,061.03 ",,"$27,061.03 ",,"$27,061.03 ",,,,,"$27,061.03 ",,,"$27,061.03 ","$27,061.03 "
MSDRG-983,INPATIENT,All Inpatient Services for MS-DRG 983,,,,,,,,,"$17,627.12 ",,,,,"$17,627.12 ",,,,,"$17,627.12 ",,,,,,,,,"$17,627.12 ",,"$17,627.12 ",,"$17,627.12 ",,,,,"$17,627.12 ",,,"$17,627.12 ","$17,627.12 "
MSDRG-987,INPATIENT,All Inpatient Services for MS-DRG 987,,,,,,,,,"$34,948.06 ",,,,,"$34,948.06 ",,,,,"$34,948.06 ",,,,,,,,,"$34,948.06 ",,"$34,948.06 ",,"$34,948.06 ",,,,,"$34,948.06 ",,,"$34,948.06 ","$34,948.06 "
MSDRG-988,INPATIENT,All Inpatient Services for MS-DRG 988,,,,,,,,,"$18,204.27 ",,,,,"$18,204.27 ",,,,,"$18,204.27 ",,,,,,,,,"$18,204.27 ",,"$18,204.27 ",,"$18,204.27 ",,,,,"$18,204.27 ",,,"$18,204.27 ","$18,204.27 "
MSDRG-989,INPATIENT,All Inpatient Services for MS-DRG 989,,,,,,,,,"$11,986.82 ",,,,,"$11,986.82 ",,,,,"$11,986.82 ",,,,,,,,,"$11,986.82 ",,"$11,986.82 ",,"$11,986.82 ",,,,,"$11,986.82 ",,,"$11,986.82 ","$11,986.82 "
OP_BARIATRIC_IV,OUTPATIENT,Rate for all outpatient services for Bariatric Surgery procedures,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,192.00 ",,,,,,,,,,,,,,"$17,192.00 ","$17,192.00 "
OP_CASE-10005,OUTPATIENT,All Services for Outpatient Surgery for Fna bx w/us gdn 1st les,10005,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-10007,OUTPATIENT,All Services for Outpatient Surgery for Fna bx w/fluor gdn 1st les,10007,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-10009,OUTPATIENT,All Services for Outpatient Surgery for Fna bx w/ct gdn 1st les,10009,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-10011,OUTPATIENT,All Services for Outpatient Surgery for Fna bx w/mr gdn 1st les,10011,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-10021,OUTPATIENT,All Services for Outpatient Surgery for Fna bx w/o img gdn 1st les,10021,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-10030,OUTPATIENT,All Services for Outpatient Surgery for Guide cathet fluid drainage,10030,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-10035,OUTPATIENT,All Services for Outpatient Surgery for Perq dev soft tiss 1st imag,10035,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-10040,OUTPATIENT,All Services for Outpatient Surgery for Acne surgery,10040,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-10060,OUTPATIENT,All Services for Outpatient Surgery for Drainage of skin abscess,10060,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-10061,OUTPATIENT,All Services for Outpatient Surgery for Drainage of skin abscess,10061,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-10080,OUTPATIENT,All Services for Outpatient Surgery for Drainage of pilonidal cyst,10080,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-10081,OUTPATIENT,All Services for Outpatient Surgery for Drainage of pilonidal cyst,10081,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-10120,OUTPATIENT,All Services for Outpatient Surgery for Remove foreign body,10120,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-10121,OUTPATIENT,All Services for Outpatient Surgery for Remove foreign body,10121,,,,,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,,,,,"$1,668.66 ",,"$1,668.66 ",,"$1,668.66 ",,,,,"$1,668.66 ",,,"$1,668.66 ","$1,668.66 "
OP_CASE-10140,OUTPATIENT,All Services for Outpatient Surgery for Drainage of hematoma/fluid,10140,,,,,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,,,,,"$1,668.66 ",,"$1,668.66 ",,"$1,668.66 ",,,,,"$1,668.66 ",,,"$1,668.66 ","$1,668.66 "
OP_CASE-10160,OUTPATIENT,All Services for Outpatient Surgery for Puncture drainage of lesion,10160,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-10180,OUTPATIENT,All Services for Outpatient Surgery for Complex drainage wound,10180,,,,,,,,"$2,811.95 ",,,,,"$2,811.95 ",,,,,"$2,811.95 ",,,,,,,,,"$2,811.95 ",,"$2,811.95 ",,"$2,811.95 ",,,,,"$2,811.95 ",,,"$2,811.95 ","$2,811.95 "
OP_CASE-11000,OUTPATIENT,All Services for Outpatient Surgery for Debride infected skin,11000,,,,,,,,$621.13 ,,,,,$621.13 ,,,,,$621.13 ,,,,,,,,,$621.13 ,,$621.13 ,,$621.13 ,,,,,$621.13 ,,,$621.13 ,$621.13 
OP_CASE-11010,OUTPATIENT,All Services for Outpatient Surgery for Debride skin at fx site,11010,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-11011,OUTPATIENT,All Services for Outpatient Surgery for Debride skin musc at fx site,11011,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-11012,OUTPATIENT,All Services for Outpatient Surgery for Deb skin bone at fx site,11012,,,,,,,,"$2,811.95 ",,,,,"$2,811.95 ",,,,,"$2,811.95 ",,,,,,,,,"$2,811.95 ",,"$2,811.95 ",,"$2,811.95 ",,,,,"$2,811.95 ",,,"$2,811.95 ","$2,811.95 "
OP_CASE-11042,OUTPATIENT,All Services for Outpatient Surgery for Deb subq tissue 20 sq cm/<,11042,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-11043,OUTPATIENT,All Services for Outpatient Surgery for Deb musc/fascia 20 sq cm/<,11043,,,,,,,,$621.13 ,,,,,$621.13 ,,,,,$621.13 ,,,,,,,,,$621.13 ,,$621.13 ,,$621.13 ,,,,,$621.13 ,,,$621.13 ,$621.13 
OP_CASE-11044,OUTPATIENT,All Services for Outpatient Surgery for Deb bone 20 sq cm/<,11044,,,,,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,,,,,"$1,668.66 ",,"$1,668.66 ",,"$1,668.66 ",,,,,"$1,668.66 ",,,"$1,668.66 ","$1,668.66 "
OP_CASE-11055,OUTPATIENT,All Services for Outpatient Surgery for Trim skin lesion,11055,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11056,OUTPATIENT,All Services for Outpatient Surgery for Trim skin lesions 2 to 4,11056,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11057,OUTPATIENT,All Services for Outpatient Surgery for Trim skin lesions over 4,11057,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11102,OUTPATIENT,All Services for Outpatient Surgery for Tangntl bx skin single les,11102,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11104,OUTPATIENT,All Services for Outpatient Surgery for Punch bx skin single lesion,11104,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-11106,OUTPATIENT,All Services for Outpatient Surgery for Incal bx skn single les,11106,,,,,,,,$621.13 ,,,,,$621.13 ,,,,,$621.13 ,,,,,,,,,$621.13 ,,$621.13 ,,$621.13 ,,,,,$621.13 ,,,$621.13 ,$621.13 
OP_CASE-11200,OUTPATIENT,All Services for Outpatient Surgery for Removal of skin tags <w/15,11200,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11300,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion 0.5 cm/<,11300,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-11301,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion 0.6-1.0 cm,11301,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11302,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion 1.1-2.0 cm,11302,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11303,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion >2.0 cm,11303,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-11305,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion 0.5 cm/<,11305,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11306,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion 0.6-1.0 cm,11306,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11307,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion 1.1-2.0 cm,11307,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11308,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion >2.0 cm,11308,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-11310,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion 0.5 cm/<,11310,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11311,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion 0.6-1.0 cm,11311,,,,,,,,$212.97 ,,,,,$212.97 ,,,,,$212.97 ,,,,,,,,,$212.97 ,,$212.97 ,,$212.97 ,,,,,$212.97 ,,,$212.97 ,$212.97 
OP_CASE-11312,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion 1.1-2.0 cm,11312,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-11313,OUTPATIENT,All Services for Outpatient Surgery for Shave skin lesion >2.0 cm,11313,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-11400,OUTPATIENT,All Services for Outpatient Surgery for Exc tr-ext b9+marg 0.5 cm<,11400,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-11401,OUTPATIENT,All Services for Outpatient Surgery for Exc tr-ext b9+marg 0.6-1 cm,11401,,,,,,,,$409.91 ,,,,,$409.91 ,,,,,$409.91 ,,,,,,,,,$409.91 ,,$409.91 ,,$409.91 ,,,,,$409.91 ,,,$409.91 ,$409.91 
OP_CASE-11402,OUTPATIENT,All Services for Outpatient Surgery for Exc tr-ext b9+marg 1.1-2 cm,11402,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-11403,OUTPATIENT,All Services for Outpatient Surgery for Exc tr-ext b9+marg 2.1-3cm,11403,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-11404,OUTPATIENT,All Services for Outpatient Surgery for Exc tr-ext b9+marg 3.1-4 cm,11404,,,,,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,,,,,"$1,668.66 ",,"$1,668.66 ",,"$1,668.66 ",,,,,"$1,668.66 ",,,"$1,668.66 ","$1,668.66 "
OP_CASE-11406,OUTPATIENT,All Services for Outpatient Surgery for Exc tr-ext b9+marg >4.0 cm,11406,,,,,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,,,,,"$1,668.66 ",,"$1,668.66 ",,"$1,668.66 ",,,,,"$1,668.66 ",,,"$1,668.66 ","$1,668.66 "
OP_CASE-11420,OUTPATIENT,All Services for Outpatient Surgery for Exc h-f-nk-sp b9+marg 0.5/<,11420,,,,,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,,,,,"$1,668.66 ",,"$1,668.66 ",,"$1,668.66 ",,,,,"$1,668.66 ",,,"$1,668.66 ","$1,668.66 "
OP_CASE-11421,OUTPATIENT,All Services for Outpatient Surgery for Exc h-f-nk-sp b9+marg 0.6-1,11421,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
OP_CASE-11422,OUTPATIENT,All Services for Outpatient Surgery for Exc h-f-nk-sp b9+marg 1.1-2,11422,,,,,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,,,,,"$1,668.66 ",,"$1,668.66 ",,"$1,668.66 ",,,,,"$1,668.66 ",,,"$1,668.66 ","$1,668.66 "
OP_CASE-11423,OUTPATIENT,All Services for Outpatient Surgery for Exc h-f-nk-sp b9+marg 2.1-3,11423,,,,,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,,,,,"$1,668.66 ",,"$1,668.66 ",,"$1,668.66 ",,,,,"$1,668.66 ",,,"$1,668.66 ","$1,668.66 "
OP_CASE-11424,OUTPATIENT,All Services for Outpatient Surgery for Exc h-f-nk-sp b9+marg 3.1-4,11424,,,,,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,"$1,668.66 ",,,,,,,,,"$1,668.66 ",,"$1,668.66 ",,"$1,668.66 ",,,,,"$1,668.66 ",,,"$1,668.66 ","$1,668.66 "
OP_CASE-11426,OUTPATIENT,All Services for Outpatient Surgery for Exc h-f-nk-sp b9+marg >4 cm,11426,,,,,,,,"$2,811.95 ",,,,,"$2,811.95 ",,,,,"$2,811.95 ",,,,,,,,,"$2,811.95 ",,"$2,811.95 ",,"$2,811.95 ",,,,,"$2,811.95 ",,,"$2,811.95 ","$2,811.95 "
OP_CASE-11440,OUTPATIENT,All Services for Outpatient Surgery for Exc face-mm b9+marg 0.5 cm/<,11440,,,,,,,,$738.00 ,,,,,$738.00 ,,,,,$738.00 ,,,,,,,,,$738.00 ,,$738.00 ,,$738.00 ,,,,,$738.00 ,,,$738.00 ,$738.00 
